expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,False,True,None,None,0,0,200,267,4.2,left,left,True,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,False,True,None,None,0,1,200,267,4.2,right,right,True,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,False,True,None,None,0,2,200,245,3.8000000000000003,left,left,True,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,False,True,None,None,0,3,200,230,3.4000000000000004,left,left,True,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,False,True,None,None,0,4,200,220,3.0000000000000004,left,left,True,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,None,None,0,0,200,213,2.6000000000000005,left,left,True,39.75,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,None,None,0,1,200,213,2.6000000000000005,right,left,False,96.5,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,None,None,0,2,200,213,2.6000000000000005,right,left,False,96.75,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,None,None,0,3,200,213,2.6000000000000005,right,right,True,95.25,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,None,None,0,4,200,213,2.6000000000000005,left,left,True,32.5,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,0,0,200,213,2.6000000000000005,right,right,True,50.5,right,True,81.06,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,0,1,200,213,2.6000000000000005,right,right,True,94.0,right,True,80.31,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,0,2,200,213,2.6000000000000005,left,left,True,-76.25,right,False,78.6,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,1,0,200,213,2.6000000000000005,right,left,False,66.75,right,True,88.92,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,1,1,200,213,2.6000000000000005,left,left,True,66.75,left,True,87.4,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,1,2,200,213,2.6000000000000005,left,left,True,66.75,left,True,90.19,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,2,0,200,213,2.6000000000000005,right,left,False,52.0,right,True,86.77,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,2,1,200,213,2.6000000000000005,left,right,False,62.25,right,False,81.39,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,overconfident,purple,2,2,200,213,2.6000000000000005,left,right,False,78.5,left,True,81.66,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,underconfident,yellow,0,0,200,213,2.6000000000000005,left,left,True,59.25,left,True,41.02,200,2.6000000000000005,213,True
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,underconfident,yellow,0,1,200,213,2.6000000000000005,right,left,False,74.75,right,True,28.26,200,2.6000000000000005,213,False
Confidence Matching EEG,,None,2021_Sep_17_1807,,,,True,False,underconfident,yellow,0,2,200,213,2.6000000000000005,left,left,True,59.5,right,False,28.94,200,2.6000000000000005,213,True
