expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,,2021_Sep_27_1841,,,,False,True,None,None,0,0,200,267,4.2,right,right,True,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,False,True,None,None,0,1,200,267,4.2,left,left,True,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,False,True,None,None,0,2,200,245,3.8000000000000003,left,left,True,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,False,True,None,None,0,3,200,230,3.4000000000000004,left,left,True,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,False,True,None,None,0,4,200,220,3.0000000000000004,right,right,True,None,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,None,None,0,0,200,213,2.6000000000000005,left,left,True,1.0,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,None,None,0,1,200,213,2.6000000000000005,right,right,True,19.75,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,None,None,0,2,200,213,2.6000000000000005,left,right,False,48.25,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,None,None,0,3,200,213,2.6000000000000005,left,left,True,14.25,None,None,None,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,None,None,0,4,200,213,2.6000000000000005,right,left,False,44.0,None,None,None,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,underconfident,yellow,0,0,200,213,2.6000000000000005,left,left,True,36.75,left,True,31.61,200,2.6000000000000005,213,True
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,underconfident,yellow,0,1,200,213,2.6000000000000005,right,left,False,65.25,right,True,36.22,200,2.6000000000000005,213,False
Confidence Matching EEG,,,2021_Sep_27_1841,,,,True,False,underconfident,yellow,0,2,200,213,2.6000000000000005,right,right,True,45.25,right,True,37.22,200,2.6000000000000005,213,True
