expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work,next_dot_count_low,next_stair_value,next_dot_count_high,next_squircle_difference,previous_trial_correct
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,1,1,0,1,None,None,0.55,0.8,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,2,1,0,2,None,None,0.18,0.247,4.2,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,3,1,0,3,None,None,0.35,0.39499999999999996,3.8000000000000003,right,left,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,4,1,0,4,None,None,0.16,0.227,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,4.2,267,0.067,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,5,1,0,5,None,None,0.65,0.7170000000000001,4.2,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,6,1,0,6,None,None,0.67,0.7150000000000001,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.6,267,0.037,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,7,1,0,7,None,None,0.37,0.407,3.6,left,right,False,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,False,True,None,None,8,1,0,8,None,None,0.3,0.345,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,None,None,9,2,0,1,None,None,0.74,0.785,3.8000000000000003,right,right,True,74.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,None,None,10,2,0,2,None,None,0.85,0.895,3.8000000000000003,left,right,False,87.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,None,None,11,2,0,3,None,None,0.51,0.555,3.8000000000000003,right,right,True,74.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,None,None,12,2,0,4,None,None,0.28,0.325,3.8000000000000003,right,right,True,81.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,None,None,13,2,0,5,None,None,0.62,0.665,3.8000000000000003,left,left,True,74.38,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,14,3,1,1,None,None,0.47,0.515,3.8000000000000003,left,right,False,82.0,left,True,62.9,None,None,None,0.03240000000000002,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,15,3,1,2,None,None,0.45,0.495,3.8000000000000003,right,right,True,65.25,right,True,72.7,None,None,None,0.42575624999999995,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,16,3,1,3,None,None,0.59,0.635,3.8000000000000003,left,left,True,62.25,left,True,69.05,None,None,None,0.38750625000000005,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,17,3,1,4,None,None,0.82,0.865,3.8000000000000003,left,right,False,70.12,left,True,66.68,None,None,None,0.08928143999999998,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,18,3,1,5,None,None,0.71,0.755,3.8000000000000003,right,right,True,79.5,right,True,68.45,None,None,None,0.6320250000000001,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,True
Confidence Matching EEG,R67369/RE001,,,s,2021_Sep_30_1457,None,,,,True,False,underconfident,magenta,19,4,2,1,None,None,0.43,0.475,3.8000000000000003,left,right,False,83.5,left,True,66.74,None,None,None,0.027225000000000013,None,None,None,None,None,None,None,None,None,None,200,3.8000000000000003,267,0.045,False
