expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,1,1,0,1,200,267,None,None,4.2,right,right,True,None,None,None,None,None,None,None,32.070938499993645,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,2,1,0,2,200,267,None,None,4.2,left,left,True,None,None,None,None,None,None,None,7.687720599991735,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,3,1,0,3,200,245,None,None,3.8000000000000003,left,left,True,None,None,None,None,None,None,None,2.408194999967236,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,4,1,0,4,200,230,None,None,3.4000000000000004,right,left,False,None,None,None,None,None,None,None,1.9811236999812536,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,5,1,0,5,200,245,None,None,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,2.3783131999662146,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,6,1,0,6,200,245,None,None,3.8000000000000003,right,left,False,None,None,None,None,None,None,None,0.3046735000098124,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,7,1,0,7,200,255,None,None,4.0,left,left,True,None,None,None,None,None,None,None,0.3052563000237569,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,8,1,0,8,200,255,None,None,4.0,right,left,False,None,None,None,None,None,None,None,0.30504270002711564,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,9,1,0,9,200,267,None,None,4.2,right,left,False,None,None,None,None,None,None,None,0.3050492000184022,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1254,None,,,,False,True,None,None,10,1,0,10,200,281,None,None,4.4,left,left,True,None,None,None,None,None,None,None,0.305069399997592,None,None,None,None,None,None,None,None,None,None,None,None
