expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,False,True,None,None,0,0,200,267,4.2,left,left,True,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,False,True,None,None,0,1,200,267,4.2,left,left,True,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,False,True,None,None,0,2,200,245,3.8000000000000003,left,left,True,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,False,True,None,None,0,3,200,230,3.4000000000000004,right,left,False,None,None,None,None,200,3.8000000000000003,245,False
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,False,True,None,None,0,4,200,245,3.8000000000000003,left,None,False,None,None,None,None,200,4.2,267,False
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,None,None,0,0,200,267,4.2,right,right,True,55.62,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,None,None,0,1,200,267,4.2,left,left,True,70.75,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,None,None,0,2,200,267,4.2,right,right,True,72.0,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,None,None,0,3,200,267,4.2,right,right,True,84.25,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,None,None,0,4,200,267,4.2,left,left,True,68.25,None,None,None,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,underconfident,yellow,0,0,200,267,4.2,left,left,True,72.75,left,True,65.35,200,4.2,267,True
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,underconfident,yellow,0,1,200,267,4.2,right,left,False,65.25,right,True,70.93,200,4.2,267,False
Confidence Matching EEG,,s,2021_Sep_27_2022,,,,True,False,underconfident,yellow,0,2,200,267,4.2,right,right,True,74.0,right,True,68.34,200,4.2,267,True
