expName,session,condition,date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,block_with_partner,trial_in_block,dot_count_low,dot_count_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,next_dot_count_low,next_stair_value,next_dot_count_high,previous_trial_correct
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,False,True,None,None,0,0,200,267,4.2,right,right,True,None,None,None,None,200,4.2,267,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,False,True,None,None,0,1,200,267,4.2,left,left,True,None,None,None,None,200,3.8000000000000003,245,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,False,True,None,None,0,2,200,245,3.8000000000000003,right,right,True,None,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,False,True,None,None,0,3,200,230,3.4000000000000004,right,right,True,None,None,None,None,200,3.0000000000000004,220,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,False,True,None,None,0,4,200,220,3.0000000000000004,left,right,False,None,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,None,None,0,0,200,230,3.4000000000000004,right,left,False,27.0,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,None,None,0,1,200,230,3.4000000000000004,left,left,True,45.75,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,None,None,0,2,200,230,3.4000000000000004,left,right,False,48.0,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,None,None,0,3,200,230,3.4000000000000004,left,left,True,90.0,None,None,None,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,None,None,0,4,200,230,3.4000000000000004,right,left,False,83.0,None,None,None,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,0,0,200,230,3.4000000000000004,right,right,True,64.0,left,False,82.8,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,0,1,200,230,3.4000000000000004,right,right,True,79.5,left,False,91.34,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,0,2,200,230,3.4000000000000004,left,right,False,88.25,left,True,84.3,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,1,0,200,230,3.4000000000000004,left,left,True,80.25,left,True,83.72,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,1,1,200,230,3.4000000000000004,right,None,False,92.0,right,True,93.04,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,1,2,200,230,3.4000000000000004,left,left,True,78.5,left,True,85.77,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,2,0,200,230,3.4000000000000004,left,left,True,63.25,left,True,87.8,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,2,1,200,230,3.4000000000000004,left,left,True,73.5,left,True,84.45,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,overconfident,yellow,2,2,200,230,3.4000000000000004,left,left,True,82.5,right,False,83.02,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,0,0,200,230,3.4000000000000004,left,right,False,57.5,left,True,42.33,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,0,1,200,230,3.4000000000000004,right,right,True,72.5,right,True,32.89,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,0,2,200,230,3.4000000000000004,right,right,True,84.0,right,True,32.45,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,1,0,200,230,3.4000000000000004,left,left,True,57.0,left,True,35.51,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,1,1,200,230,3.4000000000000004,right,right,True,73.5,right,True,32.48,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,1,2,200,230,3.4000000000000004,right,left,False,47.25,left,False,31.67,200,3.4000000000000004,230,False
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,2,0,200,230,3.4000000000000004,left,left,True,51.75,left,True,25.75,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,2,1,200,230,3.4000000000000004,left,left,True,64.0,left,True,30.04,200,3.4000000000000004,230,True
Confidence Matching EEG,,None,2021_Sep_27_1140,,,,True,False,underconfident,purple,2,2,200,230,3.4000000000000004,right,left,False,79.0,right,True,31.8,200,3.4000000000000004,230,False
