expName,curec_ID,session,condition,task,date,end_date,participant,age,gender,confidence_slider_on,staircasing_on,partner,partner_colour,trial_count,block_count,block_with_partner,trial_in_block,dot_count_low,dot_count_high,squircle_value_low,squircle_value_high,stair_value,correct_response,participant_response,participant_correct,participant_confidence,partner_response,partner_correct,partner_confidence,joint_correct,participant_chosen,partner_chosen,decision_rt,confidence_rt,trial_score,final_score,reward,p1_likeability,p1_confidence,p1_accuracy,p1_team_work,p2_likeability,p2_confidence,p2_accuracy,p2_team_work
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,1,1,0,1,200,267,None,None,4.2,right,right,True,None,None,None,None,None,None,None,0.5705753000220284,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,2,1,0,2,200,267,None,None,4.2,left,left,True,None,None,None,None,None,None,None,0.4530436000204645,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,3,1,0,3,200,245,None,None,3.8000000000000003,right,right,True,None,None,None,None,None,None,None,0.4643643999588676,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,4,1,0,4,200,230,None,None,3.4000000000000004,left,left,True,None,None,None,None,None,None,None,0.4381442000158131,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,5,1,0,5,200,220,None,None,3.0000000000000004,left,left,True,None,None,None,None,None,None,None,0.39407839998602867,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,6,1,0,6,200,213,None,None,2.6000000000000005,left,right,False,None,None,None,None,None,None,None,0.9740312000503764,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,7,1,0,7,200,216,None,None,2.8000000000000007,left,right,False,None,None,None,None,None,None,None,0.8239043999928981,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,8,1,0,8,200,220,None,None,3.000000000000001,right,right,True,None,None,None,None,None,None,None,1.0301574000041,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,9,1,0,9,200,220,None,None,3.000000000000001,right,left,False,None,None,None,None,None,None,None,1.045298199984245,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,10,1,0,10,200,225,None,None,3.200000000000001,left,right,False,None,None,None,None,None,None,None,0.9969213000149466,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,11,1,0,11,200,230,None,None,3.4000000000000012,right,left,False,None,None,None,None,None,None,None,0.9467700000386685,None,None,None,None,None,None,None,None,None,None,None,None
Confidence Matching EEG,R67369/RE001,,,,2021_Oct_11_1133,None,,,,False,True,None,None,12,1,0,12,200,233,None,None,3.5000000000000013,left,right,False,None,None,None,None,None,None,None,1.1846407999983057,None,None,None,None,None,None,None,None,None,None,None,None
